time,latitude,longitude,depth,mag,net,id
12280,38.80216599,-122.819664,3.319999933,0.75,nc,nc75019262
12260,38.85366821,-122.7695007,1.960000038,0.21,nc,nc75019257
12240,51.0129,96.6964,10,4,us,us7000mr94
12220,38.81299973,-122.8065033,1.039999962,1.92,nc,nc75019237
12200,38.81616592,-122.8181686,1.899999976,0.54,nc,nc75019232
12180,38.80266571,-122.8228302,1.409999967,0.75,nc,nc75019227
12160,33.3428333,-116.1993333,11.33,1.2,ci,ci40617719
12140,38.8176651,-122.824501,2.440000057,0.52,nc,nc75019212
12120,44.77966667,-111.0175,9.61,1.25,uu,uu80072021
12100,17.989,-66.813,12.95,2.58,pr,pr71451833
12080,19.38466644,-155.2550049,0.75999999,1.84,hv,hv74268976
12060,38.8073349,-122.8186646,2.150000095,1.07,nc,nc75019172
12040,65.344,-145.2467,7.6,2.2,ak,ak0247e9js7q
12020,38.80866623,-122.8256683,2.99000001,0.75,nc,nc75019162
12000,38.80366516,-122.821167,1.529999971,0.75,nc,nc75019157
11980,33.3405,-116.2016667,11.13,1.64,ci,ci40617703
11960,36.1358333,-117.9988333,4.26,1.02,ci,ci40617711
11940,33.346,-116.2005,10.82,0.97,ci,ci40617695
11920,38.81949997,-122.8236694,2.74000001,0.7,nc,nc75019152
11900,38.80466843,-122.8228302,2.640000105,0.75,nc,nc75019147
11880,38.83649826,-122.7955017,0.340000004,0.69,nc,nc75019137
11860,38.8156662,-122.8213348,3.25999999,0.62,nc,nc75019132
11840,38.80466843,-122.8215027,3.170000076,0.75,nc,nc75019127
